"","Method","Taxa","Factors","Df","Fvalue","P.unadj","Significance"
"669","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Desulfosarcina","Residuals",21,NA,NA,NA
"670","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Gloeocapsopsis_BDHKU_35101","season",1,1.34098008588243,0.259862183988041,"ns"
"671","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Gloeocapsopsis_BDHKU_35101","site",1,4.61410466408236,0.0435332172127312,"*"
"672","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Gloeocapsopsis_BDHKU_35101","Residuals",21,NA,NA,NA
"673","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae|g__Geodermatophilus","season",1,33.7741899241721,9.07443505117976e-06,"***"
"674","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae|g__Geodermatophilus","site",1,17.6890048343463,0.000397190558844358,"***"
"675","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae|g__Geodermatophilus","Residuals",21,NA,NA,NA
"676","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Blattabacteriaceae|g__Candidatus_Uzinura","season",1,2.28511213432254,0.145523893582994,"ns"
"677","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Blattabacteriaceae|g__Candidatus_Uzinura","site",1,2.28511213432254,0.145523893582994,"ns"
"678","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Blattabacteriaceae|g__Candidatus_Uzinura","Residuals",21,NA,NA,NA
"679","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Pricia","season",1,7.42006316275336,0.0127146101506733,"*"
"680","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Pricia","site",1,7.42006316275336,0.0127146101506733,"*"
"681","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Pricia","Residuals",21,NA,NA,NA
"682","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae|g__Roseibacillus","season",1,10.3397710700866,0.00415092151391618,"**"
"683","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae|g__Roseibacillus","site",1,1.01545888148465,0.325069423940543,"ns"
"684","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae|g__Roseibacillus","Residuals",21,NA,NA,NA
"685","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Paraurantiacibacter","season",1,82.5996226298234,1.00509743680509e-08,"***"
"686","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Paraurantiacibacter","site",1,4.31302148363461,0.0502853863653886,"ns"
"687","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Paraurantiacibacter","Residuals",21,NA,NA,NA
"688","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Nonlabens","season",1,12.4738834111515,0.0019779972431797,"**"
"689","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Nonlabens","site",1,27.3507253991349,3.49074883365936e-05,"***"
"690","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Nonlabens","Residuals",21,NA,NA,NA
"691","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae|g__Salinisphaera","season",1,59.4090741107603,1.48775522479828e-07,"***"
"692","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae|g__Salinisphaera","site",1,13.2811623363543,0.00151568016402353,"**"
"693","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae|g__Salinisphaera","Residuals",21,NA,NA,NA
"694","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Catalinimonas","season",1,0.254283017800492,0.61932519772466,"ns"
"695","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Catalinimonas","site",1,21.3627190935081,0.000146984708547374,"***"
"696","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Catalinimonas","Residuals",21,NA,NA,NA
"697","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Aurantimonas","season",1,24.2159087625929,7.2250666189746e-05,"***"
"698","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Aurantimonas","site",1,6.89355327848021,0.0158046609697716,"*"
"699","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Aurantimonas","Residuals",21,NA,NA,NA
"700","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Chroococcidiopsis_PCC-6712","season",1,0.00418546741301254,0.949028601280489,"ns"
"701","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Chroococcidiopsis_PCC-6712","site",1,18.5960626813014,0.00030789115153266,"***"
"702","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Chroococcidiopsis_PCC-6712","Residuals",21,NA,NA,NA
"703","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Patulibacter","season",1,4.37061205351493,0.0489066690588107,"*"
"704","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Patulibacter","site",1,6.74117549151681,0.0168491275351668,"*"
"705","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Patulibacter","Residuals",21,NA,NA,NA
"706","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae|g__Phormidium_MBIC10003","season",1,12.9381614479842,0.00169569371746492,"**"
"707","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae|g__Phormidium_MBIC10003","site",1,34.7754223207451,7.46637438489966e-06,"***"
"708","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae|g__Phormidium_MBIC10003","Residuals",21,NA,NA,NA
"709","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Altericroceibacterium","season",1,11.7965082230426,0.00248737782773505,"**"
"710","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Altericroceibacterium","site",1,11.9401227541816,0.00236834571966042,"**"
"711","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Altericroceibacterium","Residuals",21,NA,NA,NA
"712","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Phormidiaceae|g__Arthrospira_PCC-7345","season",1,2.16377395933178,0.156123868579829,"ns"
"713","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Phormidiaceae|g__Arthrospira_PCC-7345","site",1,5.19564047883999,0.033202153142497,"*"
"714","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Phormidiaceae|g__Arthrospira_PCC-7345","Residuals",21,NA,NA,NA
"715","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae|g__Phormidesmis_ANT.LACV5.1","season",1,6.8357985852544,0.0161917867350555,"*"
"716","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae|g__Phormidesmis_ANT.LACV5.1","site",1,19.1866283472605,0.000261732393384985,"***"
"717","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae|g__Phormidesmis_ANT.LACV5.1","Residuals",21,NA,NA,NA
"718","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Phaeodactylibacter","season",1,8.16851632072734,0.00941626863560728,"**"
"719","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Phaeodactylibacter","site",1,2.59133706844014,0.122380078912078,"ns"
"720","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Phaeodactylibacter","Residuals",21,NA,NA,NA
"721","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae|g__Parahaliea","season",1,7.85711563398643,0.0106564095373902,"*"
"722","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae|g__Parahaliea","site",1,21.9394144719146,0.000126817305089834,"***"
"723","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae|g__Parahaliea","Residuals",21,NA,NA,NA
"724","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Tropicimonas-Psychromarinibacter","season",1,2.29032195797726,0.145088501855902,"ns"
"725","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Tropicimonas-Psychromarinibacter","site",1,25.6767066653552,5.11491188234422e-05,"***"
"726","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Tropicimonas-Psychromarinibacter","Residuals",21,NA,NA,NA
"727","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Nitrincolaceae|g__Marinobacterium","season",1,0.00248457394395419,0.960716566720026,"ns"
"728","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Nitrincolaceae|g__Marinobacterium","site",1,34.6455742867436,7.65607400736348e-06,"***"
"729","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Nitrincolaceae|g__Marinobacterium","Residuals",21,NA,NA,NA
"730","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales|f__Ectothiorhodospiraceae|g__Thiogranum","season",1,1.94997043245469,0.177176438866651,"ns"
"731","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales|f__Ectothiorhodospiraceae|g__Thiogranum","site",1,10.8294627936675,0.0034837255184061,"**"
"732","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales|f__Ectothiorhodospiraceae|g__Thiogranum","Residuals",21,NA,NA,NA
